failmsg,href,image_urls,images,name,ops,removed,side,time,timestamp
,https://twilightstrategy.com/2011/12/14/regions-asia/,"https://twilightstrategy.files.wordpress.com/2012/01/asia-scoring.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/asia-scoring.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/asia-scoring.jpg?w=214 214w",,Regions: Asia,,,,,2017-05-22 16:39:06.265052
,https://twilightstrategy.com/2012/07/09/defectors/,"https://twilightstrategy.files.wordpress.com/2012/01/defectors.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/defectors.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/defectors.jpg?w=214 214w",,Defectors, 2, No, US, Early War,2017-05-22 16:39:06.342105
,https://twilightstrategy.com/2012/09/05/arms-race/,"https://twilightstrategy.files.wordpress.com/2012/01/arms-race.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/arms-race.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/arms-race.jpg?w=214 214w",,Arms Race, 3, No, Neutral, Mid War,2017-05-22 16:39:06.580833
,https://twilightstrategy.com/2012/09/04/regions-central-america/,,,Regions: Central America,,,,,2017-05-22 16:39:06.624119
,https://twilightstrategy.com/2012/09/04/brush-war/,"https://twilightstrategy.files.wordpress.com/2012/01/brush-war.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/brush-war.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/brush-war.jpg?w=214 214w",,Brush War, 3, No, Neutral, Mid War,2017-05-22 16:39:06.639793
,https://twilightstrategy.com/2012/09/04/regions-southeast-asia/,"https://twilightstrategy.files.wordpress.com/2012/01/southeast-asia-scoring.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/southeast-asia-scoring.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/southeast-asia-scoring.jpg?w=214 214w",,Regions: Southeast Asia,,,,,2017-05-22 16:39:06.658286
,https://twilightstrategy.com/2012/06/11/nuclear-test-ban/,"https://twilightstrategy.files.wordpress.com/2012/01/nuclear-test-ban.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/nuclear-test-ban.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/nuclear-test-ban.jpg?w=214 214w",,Nuclear Test Ban, 4, No, Neutral, Early War,2017-05-22 16:39:06.680321
,https://twilightstrategy.com/2012/07/02/formosan-resolution/,"https://twilightstrategy.files.wordpress.com/2012/01/formosan-resolution.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/formosan-resolution.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/formosan-resolution.jpg?w=214 214w",,Formosan Resolution, 2, Yes, US, Early War,2017-05-22 16:39:06.711749
,https://twilightstrategy.com/2012/05/07/un-intervention/,"https://twilightstrategy.files.wordpress.com/2012/01/un-intervention.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/un-intervention.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/un-intervention.jpg?w=214 214w",,UN Intervention, 1, No, Neutral, Early War,2017-05-22 16:39:13.516221
,https://twilightstrategy.com/2012/03/29/suez-crisis/,"https://twilightstrategy.files.wordpress.com/2012/01/suez-crisis.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/suez-crisis.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/suez-crisis.jpg?w=214 214w",,Suez Crisis, 3, Yes, USSR, Early War,2017-05-22 16:39:13.988139
,https://twilightstrategy.com/2013/01/14/awacs-sale-to-saudis/,"https://twilightstrategy.files.wordpress.com/2012/01/awacs-sale-to-saudis.jpg 375w, https://twilightstrategy.files.wordpress.com/2012/01/awacs-sale-to-saudis.jpg?w=107 107w, https://twilightstrategy.files.wordpress.com/2012/01/awacs-sale-to-saudis.jpg?w=214 214w",,AWACS Sale to Saudis, 3, Yes, US, Late War,2017-05-22 16:39:14.030389
