exhibitor_name,email
Hangzhou Fushan Medical Appliances Co. Ltd.,heather@fushanhz.com
Dynamic Techno Medicals Pvt. Ltd.,info@dynamictechnomedicals.com
NOBEL HYGIENE PVT. LTD.,
"Beijing Yimo Co., Ltd.",hejian@bjyimo.com
"Xiantao Yunji Protection Products Co., Ltd.",sales@xtjyfh.com
St Marys Rubbers Pvt Ltd,exports@stmarysrubbers.com
FAB Pharmaceuticals Pvt. Ltd.,director@fabpharmaceuticals.com
BCF Plasticos Ltda.,dylan@bcf.com.br
Scope Medical Devices Pvt. Ltd.,care@scopemedical.in
Haiyan Kangyuan Medical Instrument Co. Ltd.,sales@kymedical.cn
Atrasorb Indústria de Produtos Hospitalares Ltda,vendas2@atrasorb.com.br
Hospimetal Indústria Metalúrgica de Equipamentos Hospitalares Ltda.,export@hospimetal.com.br
Blue Neem Medical Devices Pvt Ltd,contact@blueneem.com
Carenow Medical Pvt Ltd,info@carenowindia.com
JIMIT MEDICO SURGICALS PVT LTD,info@jimitsurgicals.com
Mais India Medical Devices Pvt. Ltd.,info@maisindia.com
Timpel S.A.,josiane@timpel.com.br
LUPE Industria Tecnologica de Equipamentos para Laboratorio Ltda.,caio@lupetec.ind.br
Safeshield India Rubber Products Pvt. Ltd.,sales@safeshieldindia.com
Olsen Industria e Comercio S.A.,comex@olsen.odo.br
S3V Vascular Technologies Private Limited,info@s3vvascular.com
MEDPEJ Equipamentos Medicos Ltda.,edgrisa@edgrisa.com.br
APPLIED OPTICAL TECHNOLOGIES PVT. LTD,"dbussa@appliedoptical.in, info@appliedoptical.in"
Miraclus Orthotech Pvt. Ltd.,"pranav@miraclus.com, pankaj.shukla@miraclus.com"
ESTEK TECNOLOGIA EM PRODUTOS LTDA.,paulo@estek.com.br
Shaili Endoscopy,
Lotus Surgicals Private Limited,info@lotus-surgicals.com
Hardik International,info@hardikinternational.com
ROTEK LAMINATES,dhruv@rotek.co.in
Global Medikit Limited,info@globalmedikit.in
Udaipur Health Care Pvt. Ltd.,info@uhcl.net
Divlabs Healthcare Pvt. Ltd.,ceo.divlabs@gmail.com
Explore Synergy Inc.,sales@exploresynergyinc.in
Endo-Med Technologies Pvt. Ltd,info@endomed.in
Futura Surgicare Pvt. Ltd (Dolphin Sutures),sales@dolphinsutures.com
Alan Electronic Systems Pvt. Ltd.,export@alanindia.net
CM Flowmeters (India) Pvt. Ltd.,sales@cmflowmeters.in
tradeindia.com - Infocom Network Ltd.,vishal@tradeindia.com
KRUPA LABEQUI,jaythakker9@gmail.com
Auxein Medical Pvt Ltd,info@auxein.com
Allengers Medical Systems Ltd.,exports@allengers.net
Garware Bestretch Ltd.,gbl-sales@garware.com
OM Surgicals,export@omsurgicals.com
ANDHRA PRADESH MEDTECH ZONE LTD,amtz.in@gmail.com
VTT Ltd. PrintoCent,info@vtt.fi
Rotomed AG,d.mueller@rotomed.ch
Spintower Technologies GmbH,office@spintower.eu
Casex Industria de Plasticos e Produtos Medico Hospitalares Ltda.,export@casex.com.br
Ossea Technology Industria e Comercio Ltda.,g.geral@ossea.com.br
Olidef cz Industria e Comercio de Aparel Hospitalares Ltda.,export2@jpfarma.com.br
Exatech Industria e Comercio Eireli Ltda Edlo,edlo@edlo.com.br
