exhibitor_name,email
"K-Jump Health Co., Ltd.",sales@kjump.com
Facultatieve Technologies B.V,c.cantin@hygeco.com
SA.NI CORPORATE S.R.L.,sanicorporate@gmail.com
Medical Device SRL,medicaldevicesrl@medicaldevice.it
EL-COMP Cezary Kostuch,karolina.dembinska@el-comp.pl
Werther International S.p.A.,SALES@WERTHERINT.COM
Movexx International BV,info@movexx.nl
Tulip Group of Companies,sales@tulipgroup.com
Luda Kereskedelmi Kft.,info@luda-medica.com
Fibroline SA,contact@fibroline.com
ATO FORM GmbH,info@ato-form.com
Sword Xiantao Disposable protective products factory (China) Corp. Inc.,
"NIPPON SIGMAX CO., LTD.",h_tadenuma@sigmax.co.jp
JNC CORPORATION Life Chemicals Launch Office,vethum-diag@jnc-corp.co.jp
Serosep Ltd.,info@serosep.com
BPV GmbH,info@bpv-gmbh.com
NTBIO Diagnostics Inc.,info@ntbio.ca
NeoMedica d.o.o.,info@neomedica.rs
Adam's Aid Corporation,mail@adamsaid.com
wegamed gmbh,info@wegamed.de
Baden-Württemberg International GmbH Gesellschaft für int. wirtschaftl. u. wissenschaftl. Zusammenarbeit,info@bw-i.de
"Kaigo Co., Ltd.",messeduesseldorf@kaigo.com.tw
Rescue Trade OHG,info@rescuetrade.de
AMPri Handelsgesellschaft mbH,info@ampri.de
eGym GmbH,support@egym.de
Raguse Gesellschaft für medizinische Produkte mbH,info@raguse.de
ENDOSYS TECHNOLOGIES,santharam@endosys.org
"Yaan Device Co., Ltd.",yaan@ms8.hinet.net
Biomat SRL,info@immunosurface.com
Analyticon Biotechnologies AG,info@analyticon-diagnostics.com
Aptec Diagnostics N.V.,info@aptec.be
Bioactiva Diagnostica GmbH,bioactiva@bioactiva.de
iLine Microsystems S.L.,info@ilinemicrosystems.com
"Tyson Bioresearch, Inc.",sales_int@tysonbio.com
Copan Italia S.p.A.,info@copanitalia.com
EVERmed Srl,evermed@evermed.it
Systec GmbH,info@systec-lab.de
Diagon Ltd.,diagon@diagon.com
"HBI Co., Ltd.",hjkim@hbidiag.com
Koroglu Medical Devices Ltd.,info@koroglugroup.com
SA Scientific Ltd.,sas@sascientific.com
Zentech S.A.,info@zentech.be
Immundiagnostik AG,info@immundiagnostik.com
Preventis GmbH,info@preventis-online.de
R-Biopharm AG,info@r-biopharm.de
Capp ApS,info@capp.dk
LDN Labor Diagnostika Nord GmbH & Co. KG,info@ldn.de
Sacace Biotechnologies S.r.l.,info@sacace.com
"Syntron Bioresearch, Inc.",yuen@syntron.net
J. Mitra & Co. Pvt. Ltd.,jmitra@jmitra.co.in
DiaMex GmbH,info@diamex.com
Dr. Fooke Laboratorien GmbH,information@fooke-labs.de
"Toyobo Co., Ltd.",naoki_nishio@toyobo.jp
Bee Robotics Ltd.,steve@beerobotics.com
EPS Bio Technology Corp.,info@epsbio.com.tw
IME-DC GmbH,info@imedc.de
Biolife Italiana Srl,export@biolifeitaliana.it
Fitzgerald Industries International,antibodies@fitzgerald-fii.com
Bioanalyse Tibbi Malzemeler Sanayi ve Ticaret Ltd. Sti.,info@bioanalyse.com
Eurolyser Diagnostica GmbH,hpaar@eurolyser.com
DIA.PRO Diagnostic BioProbes Srl,info@diapro.it
"General Life Biotechnology Co., Ltd.",service@glbiotech.com.tw
RAL DIAGNOSTICS SAS,commercial@ral-diagnostics.fr
Pishtaz Teb Zaman Diagnostics,marketing@pishtazteb.com
AMS SpA,info.it@amsalliance.com
Nanchang Biotech A&C Biotechnical Industry Incorporated Company,overseas@biotech.com.cn
"Scantibodies Laboratory, Inc.",cs@scantibodies.com
"Beijing Shining Sun Technology Co., Ltd.",bjss1999@263.net
ELITech Group SAS,info@elitechgroup.com
"Blue Cross Bio-Medical (Beijing) Co., Ltd",export@bcbmcn.com
Sclavo Diagnostics International S.r.l.,sclavoexport@dgroup.it
ForaCare Suisse AG,cynthia.hsu@foracare.com
Sekisui Diagnostics LLC,questions@sekisui-dx.com
Wiener Laboratorios S.A.I.C.,claudia.palmier@wiener-lab.com
Mikrogen GmbH,mikrogen@mikrogen.de
LRE Medical GmbH Esterline Corporation,info@lre.de
Novacyt Group,sales@novacyt.com
BIOCHECK GmbH,voelkel@polycheck.de
Diesse Diagnostica Senese S.p.A.,salesoffice@diesse.it
Daintree Scientific Pty. Ltd.,info@amos-scientific.com
VIDIA spol. s.r.o,fortova@vidia.cz
Green Cross Medical Science Corp.,gcms.overseas@greencross.com
Reckon Diagnostics Pvt. Ltd.,adityasarwankar@gmail.com
Bionime GmbH,info@bionime.com
AVENA MEDICA SRL.,export@avena-medica.com
CPC Diagnostics Pvt. Ltd.,info@cpcdiagnostics.in
DiAgam S.A.,mail@diagam.com
Norma Diagnostika GmbH,office@normadiagnostika.com
Vacutest Kima S.r.l.,info@vacutestkima.it
Medipan GmbH,info@medipan.de
Jiangxi Tecom Science Corporation,sales@tecom-cn.com
"RAL, Tecnica para el Laboratorio S.A.",ral@ral-sa.com
"EXBIO Praha, a.s.",als@exbio.cz
LP Italiana S.p.A.,info@lpitaliana.com
NOBIS LABORDIAGNOSTICA SRL,office@nobis.com.ro
AE Adam GmbH,info@aeadam.de
Biotest Medical Corporation,info@mail.biotestsystems.com
Dirui Industrial Co. Ltd.,mason.jin@dirui.com.cn
Bhat Bio-tech India (P) Ltd.,bhatbiotech@gmail.com
Anatolia Tani ve Biyoteknoloji A.S,info@anatoliagenetik.com
VEDALAB SA,veda.lab@wanadoo.fr
GESIM Gesellschaft für Silizium-Mikrosysteme mbH,info@gesim.de
Kinematic Automation Inc.,sales@kinematic.com
