HREF,TIMESTAMP,FAILMSG
https://twilightstrategy.com/2011/12/14/regions-asia/,'2017-05-23,
https://twilightstrategy.com/2012/09/10/nuclear-subs/,'2017-05-23,
https://twilightstrategy.com/2012/09/06/cuban-missile-crisis/,'2017-05-23,
https://twilightstrategy.com/2012/09/04/brush-war/,'2017-05-23,
https://twilightstrategy.com/2012/07/09/defectors/,'2017-05-23,
https://twilightstrategy.com/2012/07/02/formosan-resolution/,'2017-05-23,
https://twilightstrategy.com/2012/09/05/arms-race/,'2017-05-23,
https://twilightstrategy.com/2012/09/04/regions-southeast-asia/,'2017-05-23,
https://twilightstrategy.com/2012/09/04/regions-central-america/,'2017-05-23,
https://twilightstrategy.com/2012/06/11/nuclear-test-ban/,'2017-05-23,
https://twilightstrategy.com/2012/05/29/de-stalinization/,'2017-05-23,
https://twilightstrategy.com/2012/05/07/un-intervention/,'2017-05-23,
https://twilightstrategy.com/2012/04/23/red-scarepurge/,'2017-05-23,
https://twilightstrategy.com/2012/04/05/decolonization/,'2017-05-23,
https://twilightstrategy.com/2012/04/02/east-european-unrest/,'2017-05-23,
https://twilightstrategy.com/2012/03/29/suez-crisis/,'2017-05-23,
https://twilightstrategy.com/2013/01/14/awacs-sale-to-saudis/,'2017-05-23,
https://twilightstrategy.com/2013/01/10/yuri-and-samantha/,'2017-05-23,
https://twilightstrategy.com/2012/11/28/our-man-in-tehran/,'2017-05-23,
https://twilightstrategy.com/2012/11/27/che/,'2017-05-23,
https://twilightstrategy.com/2012/07/25/norad/,'2017-05-23,
https://twilightstrategy.com/2012/07/18/special-relationship/,'2017-05-23,
https://twilightstrategy.com/2012/07/11/the-cambridge-five/,'2017-05-23,
https://twilightstrategy.com/2013/01/08/solidarity/,'2017-05-23,
https://twilightstrategy.com/2013/01/09/iran-iraq-war/,'2017-05-23,
https://twilightstrategy.com/2013/01/04/pershing-ii-deployed/,'2017-05-23,
https://twilightstrategy.com/2012/12/21/an-evil-empire/,'2017-05-23,
https://twilightstrategy.com/2012/12/20/tear-down-this-wall/,'2017-05-23,
https://twilightstrategy.com/2012/12/19/latin-american-debt-crisis/,'2017-05-23,
https://twilightstrategy.com/2012/12/18/chernobyl/,'2017-05-23,
https://twilightstrategy.com/2012/12/17/iran-contra-scandal/,'2017-05-23,
https://twilightstrategy.com/2013/01/07/wargames/,'2017-05-23,
https://twilightstrategy.com/2013/01/03/aldrich-ames-remix/,'2017-05-23,
https://twilightstrategy.com/2012/12/06/north-sea-oil/,'2017-05-23,
https://twilightstrategy.com/2012/12/14/terrorism/,'2017-05-23,
https://twilightstrategy.com/2012/12/05/star-wars/,'2017-05-23,
https://twilightstrategy.com/2012/12/13/ortega-elected-in-nicaragua/,'2017-05-23,
https://twilightstrategy.com/2012/12/12/glasnost/,'2017-05-23,
